espafisc_b,descrip
1,Área de entrenamiento
2,Aula de cómputo
3,Aula para matrícula
4,Auditorio
5,Cocina
6,Comedor
7,Dormitorios para hombres
8,Dormitorios para mujeres
9,Dormitorios mixtos
10,Explanada o pista de práctica vehicular
11,Gimnasio
12,Pista de prueba física
13,Sala audiovisual
14,Sala de juicios orales
15,Servicio médico
16,Stand de tiro
17,Otra área o espacio físico de infraestructura
18,No contaba con áreas o espacios físicos de infraestructura
99,No identificado
