temaatsp_a,descrip
0,No aplica
1,Prevención del delito
2,Solución de conflictos
3,Mediación y justicia cívica
4,Lavado de dinero
5,Violencia familiar
6,Violencia contra la mujer
7,Atención a víctimas
8,Búsqueda y localización de personas
9,"Niñas, niños y adolescentes"
10,Indígenas
11,Turistas y/o extranjeros
12,Combate al secuestro
13,Otro tema
99,No identificado
996,No publicable por el principio de confidencialidad o por reserva de información
997,No cuenta con elementos para responder
998,Información no disponible
